* Konfiguration
*
* Populationsgroesse festlegen
* Definiert die Größe der Population für die Lösung mit einem evolutionären Algorithmus. Default: 500
? sa.population_size=100
* Definiert die Größe der Population für die Lösung mit Ant Colony Optimization. Default: 10000
? aco.population_size=2000
*
* Maximale Anzahl von Umläufen
* Die grösste erwartete Anzahl von Umläufen in einer Lösung. Zu kleine Werte führen dazu, dass das Programm nicht korrekt arbeitet.
* Zu grosse Werte führen zu einem unnötig großen Speicherverbrauch.
* Default: 700
? aco.max_num_of_circulations=867
*
* Maximale Länge eines Umlaufs.
* Beeinflusst den Speicherbedarf.
* Default: 50
? aco.max_circulation_length=40
? sa.max_circulation_length=80
*
* Depots festlegen
* Definiert, nach welchem Verfahren die Depots festgelegt werden.
* no_service_trip:	Jede Haltestelle, an der keine Servicefahrten ankommen oder abgehen wird als Depot angesehen.
* one_digit_id:		Jede Haltestelle mit einstelliger Legacy-Id wird als Depot angesehen.
*?depot_detection_mode=no_service_trip
?depot_detection_mode=one_digit_id
*
* Haltestellennamen
* true: Die Haltestellennamen werden durch zufällig ausgewählte Strassennamen ersetzt.
?use_random_streetnames=false
*?use_random_streetnames=true
*
* Ladestationen
* Definiert, nach welchem Verfahren die Ladestationen festgelegt werden.
* no_charging_stations: 	Es wird ein VSP für konventionelle Fahrzeuge gelöst. Keine Ladestationen & unbegrenzte Batteriekapazität.
* random_stops:				Zufällig ausgewählte Haltestellen werden zu Ladestationen (prozentualer Anteil: charging_station_ratio).
* veh_capacity_at_stops: 	Jede Haltestelle mit einer VehCapacityForCharging > 0 wird zu Ladestation.
* veh_type_entry:			Jede Haltestelle mit einem Eintrag im Block VEHTYPETOCHARGINGSTATION wird zu Ladestation.
*?charging_station_detection_mode=no_charging_stations
?charging_station_detection_mode=random_stops
*?charging_station_detection_mode=veh_capacity_at_stops
*?charging_station_detection_mode=veh_type_entry
*
* Anteil der Ladestationen
* Prozentualer Anteil von Ladestationen an der Gesamtanzahl der Bushaltestellen im Bereich 0-100. Nur relevant, wenn 
* 'charging_station_detection_mode' gleich 'random' ist. Default: 10%
* 0:   Über die Depots hinaus gibt es keine Ladestationen.
* 100: Jede Bushaltestelle ist auch eine Ladestation.
?charging_station_ratio=10
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
$STOPPOINT:ID;Code;Name;VehCapacityForCharging;chargeColumn;fastCharge
48111;HÖL;Höltyschule;1000;2;1
48401;THG;Theodor-Heuss-Gymnasium;1000;0,2,1;1
50021;DAV1;D.-Hilbert-Str.;0;0,3,1;0
50052;FLW2;Friedländer Weg;0;2;0
50103;LSW3;Lönsweg;1000;1;1
50232;GTP2;Gothaer Platz;0;2;1
50411;GHS1;Grete-Henry-Str.;0;-1;0
58401;MONT;Montessori-Schule;0;2;0
60021;WMW1;Walkemühlenweg;0;-1;0
60141;FRS1;Fr.-Reuter-Str.;0;1,2,3;1
60201;BSW1;Baumschulenweg;0;2,3,1;1
60321;KSS1;Kiesseestraße;0;0,1;0
60351;GMS1;Geismar-Süd;0;-1;0
60482;TGW;Tegeler Weg;0;2;1
60501;SBS1;Schöneberger Str.;0;-1;0
60503;SBS3;Schöneberger Str.;0;0,2,3;1
60541;CBS;Charlottenb. Str.;0;1;0
60612;BPE2;Badeparadies Eiswiese;0;-1;0
60631;STE1;Stettiner Str.;0;-1;0
60651;HPS1;Hauptstraße;0;0;0
68531;WBS;Wilhelm-Busch-Schule;0;-1;0
68621;SZG;Schulz.-Geismar;0;0,2;0
80001;BAHA;Bahnhof A;0;0,1,2;0
80002;BAHB;Bahnhof B;0;3,0,2;0
80004;BAHD;Bahnhof D;0;3,1;1
90002;BTH2;Betriebshof;0;0,1;1
90010;MA0;Markt;0;-1;0
90020;KM;Kornmarkt;0;-1;0
90030;JDS;Jüdenstraße;0;0,3;1
90052;WSO2;Weender Str.-Ost;0;-1;0
90054;WSO4;Weender Str.-Ost;0;-1;0
90060;WSW0;Weender Str.-West;0;-1;0
90061;WSW1;Weender Str.-West;0;-1;0
98152;MPG;Max-Planck-Gymnasium;0;-1;0
98302;ABS;Albanischule;0;0;0
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
12;12;12
13;13;13
14;14;14
51;51;51
*
$VEHICLETYPE:ID;Code;Name;VehCharacteristic;VehClass;CurbWeightKg;VehCost;KmCost;HourCost;Capacity;BatteryCapacity;ConsumptionPerServiceJourneyKm;ConsumptionPerDeadheadKm;RechargingCost;SlowRechargingTime;FastRechargingTime;ChargingSystem
1;RB_BEV_BYD_12m;BYD_ebus;1;12m;13300;100000;1;100;1000;324;1,296;1,296;1000;18000;5760;0,2
2;RB_BEV_BYD_12m;BYD_40-ft Electric Transit Bus (2014);1;12m;14500;100000;1;100;1000;324;1,296;1,296;1000;14400;5760;0,2
3;AB_BEV_BYD_18m;BYD_60-ft Electric Transit Bus (2014);2;18m;21500;100000;1;100;1000;547,5;1,990909091;1,990909091;1000;10800;7200;0,2
4;RB_BEV_Siemens+Rampini_8m;Siemens+Rampini_ebus;1;8m;8500;100000;1;100;1000;96;0,8;0,8;1000;-;360;0,1,2
5;RB_BEV_Solaris_9m;Solaris_urbino electric 8.9 LE;1;8m;-;100000;1;100;1000;90;0,3;0,3;1000;-;420;0,1
6;RB_BEV_Solaris_12m;Solaris_urbino electric 12 (Braunschweig);1;12m;13000;100000;1;100;1000;90;0,6;0,6;1000;-;420;0,1
7;RB_BEV_Solaris_12m;Solaris_urbino electric 12;1;12m;-;100000;1;100;1000;90;0,6;0,6;1000;-;420;0,1
8;AB_BEV_Solaris_18m;Solaris_urbino electric 18;2;18m;-;100000;1;100;1000;90;0,3;0,3;1000;-;420;0,1
9;AB_FCBEV_Solaris_19m;Solaris_urbino electric 18.75;2;18m;-;100000;1;100;1000;120;0,4;0,4;1000;-;420;0,1
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;EBus
2;2;EBus_w_Range_Extension
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
2;2
3;1
4;1
5;1
6;1
7;1
8;1
9;1
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max;;;;;;;
*
$VEHTYPETOCHARGINGSTATION:VehTypeID;StoppointID
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds;Distance;dummy1;dummy2;dummy3
6733;12;21931;20901;000:05:10:00;000:05:13:00;0;0;1;0;0;1073;1;1;-
6734;1;20901;20081;000:05:13:00;000:05:23:00;0;0;1;0;0;3438;1;1;-
6735;8;20081;30952;000:05:23:00;000:05:45:00;0;60;1;0;0;5558;1;1;-
6736;5;30952;40591;000:05:46:00;000:05:58:00;0;60;1;0;0;4126;1;1;-
6737;5;40591;10861;000:05:59:00;000:06:50:00;0;60;1;0;0;16078;1;1;-
6738;5;10861;40591;000:06:56:00;000:07:51:00;0;60;1;0;0;16602;1;1;-
6739;5;40591;10861;000:07:59:00;000:08:50:00;0;60;1;0;0;16078;1;1;-
6740;5;10861;40591;000:08:56:00;000:09:51:00;0;60;1;0;0;16602;1;1;-
6741;5;40591;10861;000:09:59:00;000:10:50:00;0;60;1;0;0;16078;1;1;-
6742;5;10861;40591;000:10:56:00;000:11:51:00;0;60;1;0;0;16602;1;1;-
6743;5;40591;10861;000:11:59:00;000:12:50:00;0;60;1;0;0;16078;1;1;-
6744;5;10861;40591;000:12:56:00;000:13:51:00;0;60;1;0;0;16602;1;1;-
6745;5;40591;10861;000:13:59:00;000:14:50:00;0;60;1;0;0;16078;1;1;-
6746;5;10861;40591;000:14:56:00;000:15:51:00;0;60;1;0;0;16602;1;1;-
6747;5;40591;10861;000:15:58:00;000:16:49:00;0;60;1;0;0;16078;1;1;-
6748;5;10861;40591;000:16:56:00;000:17:51:00;0;60;1;0;0;16602;1;1;-
6749;5;40591;10861;000:17:58:00;000:18:49:00;0;60;1;0;0;16078;1;1;-
6750;5;10861;40591;000:18:56:00;000:19:51:00;0;60;1;0;0;16602;1;1;-
6278;8;90002;90030;000:05:12:00;000:05:34:00;0;60;1;0;0;6365;1;1;-
6280;1;50411;20901;000:05:54:00;000:06:34:00;0;60;1;0;0;11057;1;1;-
6281;1;20901;50411;000:06:40:00;000:07:18:00;0;60;1;0;0;10819;1;1;-
6283;1;50411;20901;000:07:24:00;000:08:04:00;0;60;1;0;0;11057;1;1;-
6284;1;20901;50411;000:08:10:00;000:08:48:00;0;60;1;0;0;10819;1;1;-
6286;1;50411;20901;000:08:54:00;000:09:34:00;0;60;1;0;0;11057;1;1;-
6287;1;20901;50411;000:09:40:00;000:10:18:00;0;60;1;0;0;10819;1;1;-
6289;1;50411;20901;000:10:24:00;000:11:04:00;0;60;1;0;0;11057;1;1;-
6290;1;20901;50411;000:11:10:00;000:11:48:00;0;60;1;0;0;10819;1;1;-
6292;1;50411;20901;000:11:54:00;000:12:34:00;0;60;1;0;0;11057;1;1;-
6293;1;20901;50411;000:12:40:00;000:13:18:00;0;60;1;0;0;10819;1;1;-
6295;1;50411;20901;000:13:24:00;000:14:04:00;0;60;1;0;0;11057;1;1;-
6296;1;20901;50411;000:14:10:00;000:14:48:00;0;60;1;0;0;10819;1;1;-
6298;1;50411;20901;000:14:54:00;000:15:34:00;0;60;1;0;0;11057;1;1;-
6299;1;20901;50411;000:15:40:00;000:16:18:00;0;60;1;0;0;10819;1;1;-
6301;1;50411;20901;000:16:24:00;000:17:04:00;0;60;1;0;0;11057;1;1;-
6302;1;20901;50411;000:17:10:00;000:17:48:00;0;60;1;0;0;10819;1;1;-
6304;1;50411;20901;000:17:54:00;000:18:34:00;0;60;1;0;0;11057;1;1;-
6305;1;20901;50411;000:18:40:00;000:19:18:00;0;60;1;0;0;10819;1;1;-
6307;1;50411;20901;000:19:24:00;000:20:04:00;0;60;1;0;0;11057;1;1;-
5855;5;40591;30954;000:05:12:00;000:05:21:00;0;60;1;0;0;4054;1;1;-
5856;12;30954;30931;000:05:23:00;000:05:26:00;0;0;1;0;0;1100;1;1;-
5857;3;30931;90010;000:05:26:00;000:05:38:00;0;60;1;0;0;3072;1;1;-
5859;4;10412;10451;000:05:47:00;000:05:50:00;0;60;1;0;0;547;1;1;-
5861;5;10541;90030;000:05:53:00;000:06:07:00;0;60;1;0;0;4043;1;1;-
5862;2;90030;30901;000:06:08:00;000:06:28:00;0;60;1;0;0;5343;1;1;-
5864;2;30901;60541;000:06:36:00;000:07:12:00;0;60;1;0;0;10310;1;1;-
5865;2;60541;30901;000:07:20:00;000:07:58:00;0;60;1;0;0;10340;1;1;-
5748;4;10412;10451;000:05:14:00;000:05:17:00;0;60;1;0;0;547;1;1;-
5750;5;10541;90030;000:05:20:00;000:05:34:00;0;0;1;0;0;4043;1;1;-
5751;3;90030;30901;000:05:34:00;000:05:55:00;0;60;1;0;0;5968;1;1;-
5753;2;30901;60541;000:06:06:00;000:06:42:00;0;60;1;0;0;10310;1;1;-
5754;2;60541;30901;000:06:50:00;000:07:28:00;0;60;1;0;0;10340;1;1;-
5756;2;30901;60541;000:07:36:00;000:08:12:00;0;60;1;0;0;10310;1;1;-
5757;2;60541;30901;000:08:20:00;000:08:58:00;0;60;1;0;0;10340;1;1;-
5759;2;30901;60541;000:09:06:00;000:09:42:00;0;60;1;0;0;10310;1;1;-
5760;2;60541;30901;000:09:50:00;000:10:28:00;0;60;1;0;0;10340;1;1;-
5762;2;30901;60541;000:10:36:00;000:11:12:00;0;60;1;0;0;10310;1;1;-
5763;2;60541;30901;000:11:20:00;000:11:58:00;0;60;1;0;0;10340;1;1;-
5765;2;30901;60541;000:12:06:00;000:12:42:00;0;60;1;0;0;10310;1;1;-
5766;2;60541;30901;000:12:50:00;000:13:28:00;0;60;1;0;0;10340;1;1;-
5768;2;30901;60541;000:13:36:00;000:14:12:00;0;60;1;0;0;10310;1;1;-
5769;2;60541;30901;000:14:20:00;000:14:58:00;0;60;1;0;0;10340;1;1;-
5771;2;30901;60541;000:15:06:00;000:15:42:00;0;60;1;0;0;10310;1;1;-
5772;2;60541;30901;000:15:50:00;000:16:28:00;0;60;1;0;0;10340;1;1;-
5774;2;30901;60541;000:16:36:00;000:17:12:00;0;60;1;0;0;10310;1;1;-
5775;2;60541;30901;000:17:20:00;000:17:58:00;0;60;1;0;0;10340;1;1;-
5777;2;30901;60541;000:18:06:00;000:18:42:00;0;60;1;0;0;10310;1;1;-
5778;2;60541;30901;000:18:50:00;000:19:28:00;0;60;1;0;0;10340;1;1;-
5780;2;30901;60541;000:19:51:00;000:20:25:00;0;60;1;0;0;10310;1;1;-
6470;9;10241;40321;000:05:22:00;000:05:47:00;0;60;1;0;0;7294;1;1;-
6471;9;40321;10241;000:06:01:00;000:06:25:00;0;60;1;0;0;6704;1;1;-
6473;4;10463;60501;000:06:39:00;000:07:28:00;0;60;1;0;0;12487;1;1;-
6474;4;60501;10463;000:07:34:00;000:08:18:00;0;60;1;0;0;12254;1;1;-
6476;4;10463;60501;000:08:39:00;000:09:28:00;0;60;1;0;0;12487;1;1;-
6477;4;60501;10463;000:09:34:00;000:10:18:00;0;60;1;0;0;12254;1;1;-
6479;4;10463;60501;000:10:39:00;000:11:28:00;0;60;1;0;0;12487;1;1;-
6480;4;60501;10463;000:11:34:00;000:12:18:00;0;60;1;0;0;12254;1;1;-
6482;4;10463;60501;000:12:39:00;000:13:28:00;0;60;1;0;0;12487;1;1;-
6483;4;60501;10463;000:13:34:00;000:14:18:00;0;60;1;0;0;12254;1;1;-
6485;4;10463;60501;000:14:39:00;000:15:28:00;0;60;1;0;0;12487;1;1;-
6486;4;60501;10463;000:15:34:00;000:16:18:00;0;60;1;0;0;12254;1;1;-
6488;4;10463;60501;000:16:39:00;000:17:28:00;0;60;1;0;0;12487;1;1;-
6489;4;60501;10463;000:17:34:00;000:18:18:00;0;60;1;0;0;12254;1;1;-
6491;4;10463;60501;000:18:39:00;000:19:28:00;0;60;1;0;0;12487;1;1;-
6492;4;60501;10463;000:19:45:00;000:20:25:00;0;60;1;0;0;12817;1;1;-
6753;12;21931;20901;000:05:26:00;000:05:29:00;0;0;1;0;0;1073;1;1;-
6754;12;20901;60501;000:05:29:00;000:06:09:00;0;60;1;0;0;14983;1;1;-
6755;12;60501;20901;000:06:13:00;000:06:55:00;0;60;1;0;0;15237;1;1;-
6756;12;20901;60501;000:06:59:00;000:07:47:00;0;60;1;0;0;14983;1;1;-
6757;12;60501;20901;000:08:13:00;000:08:55:00;0;60;1;0;0;15237;1;1;-
6758;12;20901;60501;000:08:59:00;000:09:47:00;0;60;1;0;0;14983;1;1;-
6759;12;60501;20901;000:10:13:00;000:10:55:00;0;60;1;0;0;15237;1;1;-
6760;12;20901;60501;000:10:59:00;000:11:47:00;0;60;1;0;0;14983;1;1;-
6761;12;60501;20901;000:12:13:00;000:12:55:00;0;60;1;0;0;15237;1;1;-
6762;12;20901;60501;000:12:59:00;000:13:47:00;0;60;1;0;0;14983;1;1;-
6763;12;60501;20901;000:14:13:00;000:14:55:00;0;60;1;0;0;15237;1;1;-
6764;12;20901;60501;000:14:59:00;000:15:47:00;0;60;1;0;0;14983;1;1;-
6765;12;60501;20901;000:16:13:00;000:16:55:00;0;60;1;0;0;15237;1;1;-
6766;12;20901;60501;000:16:59:00;000:17:47:00;0;60;1;0;0;14983;1;1;-
6767;12;60501;20901;000:18:13:00;000:18:55:00;0;60;1;0;0;15237;1;1;-
6768;12;20901;60501;000:18:59:00;000:19:47:00;0;60;1;0;0;14983;1;1;-
6770;2;60541;30901;000:20:28:00;000:21:02:00;0;60;1;0;0;10340;1;1;-
6772;2;30901;60541;000:21:21:00;000:21:55:00;0;60;1;0;0;10310;1;1;-
6773;2;60541;30901;000:21:58:00;000:22:32:00;0;60;1;0;0;10340;1;1;-
6775;2;30901;60541;000:22:51:00;000:23:25:00;0;60;1;0;0;10310;1;1;-
6776;2;60541;30901;000:23:28:00;001:00:02:00;0;60;1;0;0;10340;1;1;-
6842;13;21871;60351;000:05:38:00;000:06:31:00;0;60;1;0;0;17208;1;1;-
6843;13;60351;21871;000:06:37:00;000:07:32:00;0;60;1;0;0;17466;1;1;-
6845;13;21871;60351;000:07:38:00;000:08:31:00;0;60;1;0;0;17208;1;1;-
6846;13;60351;21871;000:08:37:00;000:09:32:00;0;60;1;0;0;17466;1;1;-
6848;13;21871;60351;000:09:38:00;000:10:31:00;0;60;1;0;0;17208;1;1;-
6853;13;60351;21871;000:05:37:00;000:06:32:00;0;60;1;0;0;17466;1;1;-
6855;13;21871;60351;000:06:38:00;000:07:31:00;0;60;1;0;0;17208;1;1;-
6856;13;60351;21871;000:07:37:00;000:08:32:00;0;60;1;0;0;17466;1;1;-
6858;13;21871;60351;000:08:38:00;000:09:31:00;0;60;1;0;0;17208;1;1;-
6859;13;60351;21871;000:09:37:00;000:10:32:00;0;60;1;0;0;17466;1;1;-
6861;13;21871;60351;000:10:38:00;000:11:31:00;0;60;1;0;0;17208;1;1;-
5554;1;20901;50411;000:05:40:00;000:06:18:00;0;60;1;0;0;10819;1;1;-
5556;1;50411;20901;000:06:24:00;000:07:04:00;0;60;1;0;0;11057;1;1;-
5557;1;20901;50411;000:07:10:00;000:07:48:00;0;60;1;0;0;10819;1;1;-
5559;1;50411;20901;000:07:54:00;000:08:34:00;0;60;1;0;0;11057;1;1;-
5560;1;20901;50411;000:08:40:00;000:09:18:00;0;60;1;0;0;10819;1;1;-
5562;1;50411;20901;000:09:24:00;000:10:04:00;0;60;1;0;0;11057;1;1;-
5563;1;20901;50411;000:10:10:00;000:10:48:00;0;60;1;0;0;10819;1;1;-
5565;1;50411;20901;000:10:54:00;000:11:34:00;0;60;1;0;0;11057;1;1;-
5566;1;20901;50411;000:11:40:00;000:12:18:00;0;60;1;0;0;10819;1;1;-
5568;1;50411;20901;000:12:24:00;000:13:04:00;0;60;1;0;0;11057;1;1;-
5569;1;20901;50411;000:13:10:00;000:13:48:00;0;60;1;0;0;10819;1;1;-
5571;1;50411;20901;000:13:54:00;000:14:34:00;0;60;1;0;0;11057;1;1;-
5572;1;20901;50411;000:14:40:00;000:15:18:00;0;60;1;0;0;10819;1;1;-
5574;1;50411;20901;000:15:24:00;000:16:04:00;0;60;1;0;0;11057;1;1;-
5575;1;20901;50411;000:16:10:00;000:16:48:00;0;60;1;0;0;10819;1;1;-
5577;1;50411;20901;000:16:54:00;000:17:34:00;0;60;1;0;0;11057;1;1;-
5578;1;20901;50411;000:17:40:00;000:18:18:00;0;60;1;0;0;10819;1;1;-
5580;1;50411;20901;000:18:24:00;000:19:04:00;0;60;1;0;0;11057;1;1;-
5581;1;20901;50411;000:19:10:00;000:19:48:00;0;60;1;0;0;10819;1;1;-
6585;10;40132;40621;000:05:40:00;000:05:43:00;0;0;1;0;0;835;1;1;-
6586;10;40621;80004;000:05:43:00;000:06:18:00;0;60;1;0;0;12411;1;1;-
6588;10;80001;40621;000:06:31:00;000:07:08:00;0;60;1;0;0;13145;1;1;-
6589;10;40621;80004;000:07:13:00;000:07:48:00;0;60;1;0;0;12411;1;1;-
6591;10;80001;40621;000:08:01:00;000:08:38:00;0;60;1;0;0;13145;1;1;-
6592;10;40621;80004;000:08:43:00;000:09:18:00;0;60;1;0;0;12411;1;1;-
6594;10;80001;40151;000:09:31:00;000:09:59:00;0;60;1;0;0;8522;1;1;-
6596;10;40151;80004;000:10:21:00;000:10:48:00;0;60;1;0;0;8289;1;1;-
6598;10;80001;40621;000:11:01:00;000:11:38:00;0;60;1;0;0;13145;1;1;-
6599;10;40621;80004;000:11:43:00;000:12:18:00;0;60;1;0;0;12411;1;1;-
6600;13;80004;21871;000:13:08:00;000:13:37:00;0;60;1;0;0;11043;1;1;-
6603;10;80001;40621;000:12:31:00;000:13:08:00;0;60;1;0;0;13145;1;1;-
6604;10;40621;80004;000:13:13:00;000:13:48:00;0;60;1;0;0;12411;1;1;-
6606;10;80001;40621;000:14:01:00;000:14:38:00;0;60;1;0;0;13145;1;1;-
6607;10;40621;80004;000:14:43:00;000:15:18:00;0;60;1;0;0;12411;1;1;-
6609;10;80001;40621;000:15:31:00;000:16:08:00;0;60;1;0;0;13145;1;1;-
6610;10;40621;80004;000:16:13:00;000:16:48:00;0;60;1;0;0;12411;1;1;-
6612;10;80001;40621;000:17:01:00;000:17:38:00;0;60;1;0;0;13145;1;1;-
6613;10;40621;80004;000:17:43:00;000:18:18:00;0;60;1;0;0;12411;1;1;-
6615;10;80001;40151;000:18:31:00;000:18:59:00;0;60;1;0;0;8522;1;1;-
6617;10;40151;80004;000:19:21:00;000:19:48:00;0;60;1;0;0;8289;1;1;-
6619;10;80001;40621;000:20:06:00;000:20:40:00;0;60;1;0;0;13145;1;1;-
6620;10;40621;80001;000:20:41:00;000:21:00:00;0;60;1;0;0;8567;1;1;-
6621;10;80001;40621;000:21:06:00;000:21:40:00;0;60;1;0;0;13145;1;1;-
6622;10;40621;80001;000:21:41:00;000:22:00:00;0;60;1;0;0;8567;1;1;-
6623;10;80001;40621;000:22:06:00;000:22:40:00;0;60;1;0;0;13145;1;1;-
6624;10;40621;80001;000:22:41:00;000:23:00:00;0;60;1;0;0;8567;1;1;-
6625;10;80001;40621;000:23:06:00;000:23:40:00;0;60;1;0;0;13145;1;1;-
6111;7;50411;21931;000:05:43:00;000:06:22:00;0;60;1;0;0;11902;1;1;-
6113;7;21931;50411;000:06:29:00;000:07:08:00;0;60;1;0;0;11434;1;1;-
6115;7;50411;21931;000:07:13:00;000:07:52:00;0;60;1;0;0;11902;1;1;-
6117;7;21931;50411;000:07:59:00;000:08:38:00;0;60;1;0;0;11434;1;1;-
6119;7;50411;21931;000:08:43:00;000:09:22:00;0;60;1;0;0;11902;1;1;-
6121;7;21931;50411;000:09:29:00;000:10:08:00;0;60;1;0;0;11434;1;1;-
6123;7;50411;21931;000:10:13:00;000:10:52:00;0;60;1;0;0;11902;1;1;-
6125;7;21931;50411;000:10:59:00;000:11:38:00;0;60;1;0;0;11434;1;1;-
